"2018-12-12 12:57:55 [main] INFO  com.vsoft.app.Service - Starting Service on RSUNKA-PC with PID 9188 (D:\EXECUTVE_DASH_BOARD\spring-boot-security-jwt-db\target\classes started by dkommi in D:\EXECUTVE_DASH_BOARD\spring-boot-security-jwt-db)
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2018-12-12 13:03:10 [RMI TCP Connection(8)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@19713e5: startup date [Wed Dec 12 12:57:56 IST 2018]; root of context hierarchy
""2018-12-12 13:03:10 [RMI TCP Connection(6)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2018-12-12 13:03:10 [RMI TCP Connection(4)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2018-12-12 13:03:10 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2018-12-12 13:03:10 [RMI TCP Connection(7)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2018-12-12 13:03:22 [main] INFO  com.vsoft.app.Service - Starting Service on RSUNKA-PC with PID 8076 (D:\EXECUTVE_DASH_BOARD\spring-boot-security-jwt-db\target\classes started by dkommi in D:\EXECUTVE_DASH_BOARD\spring-boot-security-jwt-db)
""2018-12-12 13:03:22 [main] INFO  com.vsoft.app.Service - No active profile set, falling back to default profiles: default
""2018-12-12 13:03:23 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@eaa59a: startup date [Wed Dec 12 13:03:23 IST 2018]; root of context hierarchy
""2018-12-12 13:03:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a326f0a7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-12 13:03:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$3bd4b8e1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-12 13:03:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-12 13:03:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@951911' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-12 13:03:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$60a95b93] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-12 13:03:25 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2018-12-12 13:03:26 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 1111 (http)
""2018-12-12 13:03:26 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2018-12-12 13:03:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.32
""2018-12-12 13:03:26 [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_101\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:/Program Files/Java/jre1.8.0_101/bin/client;C:/Program Files/Java/jre1.8.0_101/bin;C:/Program Files/Java/jre1.8.0_101/lib/i386;C:\oraclexe\app\oracle\product\11.2.0\server\bin;;C:\oraclexe\app\oracle\product\11.2.0\server\bin;C:\ProgramData\Oracle\Java\javapath;C:\Program Files\Broadcom\Broadcom 802.11 Network Adapter\Driver;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;C:\Apache\maven\apache-maven-3.2.2\bin;C:\Program Files\TortoiseSVN\bin;C:\Program Files\Apache Software Foundation\Tomcat 7.0\bin;C:\Program Files\apache-ant-1.9.3\bin;C:\Users\apradhan\AppData\Roaming\npm\;D:\sdk_andriod;C:\Windows\System32;C:\Program Files\MySQL\MySQL Server 5.0\bin;D:\software\gradle-4.0\bin;C:\Program Files\MongoDB\Server\3.2\bin;C:\Program Files\Java\jdk1.8.0_101/bin;C:\Program Files\MongoDB\Server\3.2\bin;C:\Program Files\nodejs\;C:\Program Files\PuTTY\;C:\Program Files\Git\cmd;C:\Program Files\GitExtensions\;C:\Users\dkommi\AppData\Roaming\npm;C:\Users\dkommi\AppData\Roaming\ScanApp2;D:\software\sts-bundle\sts-3.8.4.RELEASE;;.]
""2018-12-12 13:03:26 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2018-12-12 13:03:26 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3783 ms
""2018-12-12 13:03:27 [localhost-startStop-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2018-12-12 13:03:27 [localhost-startStop-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2018-12-12 13:03:27 [localhost-startStop-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
""2018-12-12 13:03:27 [localhost-startStop-1] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2018-12-12 13:03:28 [localhost-startStop-1] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.2.17.Final}
""2018-12-12 13:03:28 [localhost-startStop-1] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2018-12-12 13:03:28 [localhost-startStop-1] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
""2018-12-12 13:03:28 [localhost-startStop-1] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL9Dialect
""2018-12-12 13:03:28 [localhost-startStop-1] INFO  o.h.e.j.e.i.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
""2018-12-12 13:03:28 [localhost-startStop-1] INFO  org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@6feb11
""2018-12-12 13:03:29 [localhost-startStop-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'authenticationJwtTokenFilter' to: [/*]
""2018-12-12 13:03:30 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
""2018-12-12 13:03:31 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/auth/signin],methods=[POST]}" onto public org.springframework.http.ResponseEntity<?> com.vsoft.app.controller.AuthRestAPIs.authenticateUser(com.vsoft.app.message.request.LoginForm)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/auth/signup],methods=[POST]}" onto public org.springframework.http.ResponseEntity<java.lang.String> com.vsoft.app.controller.AuthRestAPIs.registerUser(com.vsoft.app.message.request.SignUpForm)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/coin],methods=[GET]}" onto public void com.vsoft.app.controller.CoinController.getCoins()
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/coin/{coinId}],methods=[GET]}" onto public void com.vsoft.app.controller.CoinController.getCoin(java.lang.Long)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/coin],methods=[POST]}" onto public void com.vsoft.app.controller.CoinController.craeteCoin(com.vsoft.app.model.Coin)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/coin],methods=[PUT]}" onto public void com.vsoft.app.controller.CoinController.updateCoin(com.vsoft.app.model.Coin)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/coin],methods=[DELETE]}" onto public void com.vsoft.app.controller.CoinController.deleteCoin(java.lang.Long)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/test/pm],methods=[GET]}" onto public java.lang.String com.vsoft.app.controller.TestRestAPIs.projectManagementAccess()
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/test/user],methods=[GET]}" onto public java.lang.String com.vsoft.app.controller.TestRestAPIs.userAccess()
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/test/admin],methods=[GET]}" onto public java.lang.String com.vsoft.app.controller.TestRestAPIs.adminAccess()
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
""2018-12-12 13:03:31 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
